,mpg,cylinders,displacement,horsepower,weight,acceleration,model year2,origin,Car name
35,17,6,250,100,3329,15,71,1,chevrolet chevelle malibu
36,19,6,250,88,3302,15,71,1,ford torino 500
37,18,6,232,100,3288,15,71,1,amc matador 
38,14,8,350,165,4209,12,71,1,chevrolet impala 
39,14,8,400,175,4464,11,71,1,pontiac catalina brougham
40,14,8,351,153,4154,13,71,1,ford galaxie 500
41,14,8,318,150,4096,13,71,1,plymouth fury iii
42,12,8,383,180,4955,11,71,1,dodge monaco (sw)
43,13,8,400,170,4746,12,71,1,ford country squire
44,13,8,400,175,5140,12,71,1,pontiac safari (sw)
45,18,6,258,110,2962,13,71,1,amc hornet sportabout
46,22,4,140,72,2408,19,71,1,chevrolet vega (sw)
47,19,6,250,100,3282,15,71,1,pontiac firebird 
48,18,6,250,88,3139,14,71,1,ford mustang 
49,23,4,122,86,2220,14,71,1,mercury capri 2000
50,28,4,116,90,2123,14,71,2,opel 1900 
51,30,4,79,70,2074,19,71,2,peugeot 304 
52,30,4,88,76,2065,14,71,2,fiat 124b 
53,31,4,71,65,1773,19,71,3,toyota corolla 1200
54,35,4,72,69,1613,18,71,3,datsun 1200 
55,27,4,97,60,1834,19,71,2,volkswagen model 111
56,26,4,91,70,1955,20,71,1,plymouth cricket 
57,24,4,113,95,2278,15,72,3,toyota corona hardtop
58,25,4,97,80,2126,17,72,1,dodge colt hardtop
59,23,4,97,54,2254,23,72,2,volkswagen type 3
60,20,4,140,90,2408,19,72,1,chevrolet vega 
61,21,4,122,86,2226,16,72,1,ford pinto runabout
62,13,8,350,165,4274,12,72,1,chevrolet impala 
63,14,8,400,175,4385,12,72,1,pontiac catalina 
64,15,8,318,150,4135,13,72,1,plymouth fury iii
65,14,8,351,153,4129,13,72,1,ford galaxie 500
66,17,8,304,150,3672,11,72,1,amc ambassador sst
67,11,8,429,208,4633,11,72,1,mercury marquis 
68,13,8,350,155,4502,13,72,1,buick lesabre custom
69,12,8,350,160,4456,13,72,1,oldsmobile delta 88
70,13,8,400,190,4422,12,72,1,chrysler newport royal
71,19,3,70,97,2330,13,72,3,mazda rx2 coupe
72,15,8,304,150,3892,12,72,1,amc matador (sw)
73,13,8,307,130,4098,14,72,1,chevrolet chevelle concours
74,13,8,302,140,4294,16,72,1,ford gran torino
75,14,8,318,150,4077,14,72,1,plymouth satellite custom
76,18,4,121,112,2933,14,72,2,volvo 145e (sw)
77,22,4,121,76,2511,18,72,2,volkswagen 411 (sw)
78,21,4,120,87,2979,19,72,2,peugeot 504 (sw)
79,26,4,96,69,2189,18,72,2,renault 12 (sw)
80,22,4,122,86,2395,16,72,1,ford pinto (sw)
81,28,4,97,92,2288,17,72,3,datsun 510 (sw)
82,23,4,120,97,2506,14,72,3,toyouta corona mark
83,28,4,98,80,2164,15,72,1,dodge colt (sw)
84,27,4,97,88,2100,16,72,3,toyota corolla 1600
85,13,8,350,175,4100,13,73,1,buick century 350
86,14,8,304,150,3672,11,73,1,amc matador 
87,13,8,350,145,3988,13,73,1,chevrolet malibu 
88,14,8,302,137,4042,14,73,1,ford gran torino
89,15,8,318,150,3777,12,73,1,dodge coronet custom
90,12,8,429,198,4952,11,73,1,mercury marquis brougham
91,13,8,400,150,4464,12,73,1,chevrolet caprice classic
92,13,8,351,158,4363,13,73,1,ford ltd 
93,14,8,318,150,4237,14,73,1,plymouth fury gran
94,13,8,440,215,4735,11,73,1,chrysler new yorker
95,12,8,455,225,4951,11,73,1,buick electra 225
96,13,8,360,175,3821,11,73,1,amc ambassador brougham
97,18,6,225,105,3121,16,73,1,plymouth valiant 
98,16,6,250,100,3278,18,73,1,chevrolet nova custom
99,18,6,232,100,2945,16,73,1,amc hornet 
100,18,6,250,88,3021,16,73,1,ford maverick 
101,23,6,198,95,2904,16,73,1,plymouth duster 
102,26,4,97,46,1950,21,73,2,volkswagen super beetle
103,11,8,400,150,4997,14,73,1,chevrolet impala 
104,12,8,400,167,4906,12,73,1,ford country 
105,13,8,360,170,4654,13,73,1,plymouth custom suburb
106,12,8,350,180,4499,12,73,1,oldsmobile vista cruiser
107,18,6,232,100,2789,15,73,1,amc gremlin 
108,20,4,97,88,2279,19,73,3,toyota carina 
109,21,4,140,72,2401,19,73,1,chevrolet vega 
110,22,4,108,94,2379,16,73,3,datsun 610 
111,18,3,70,90,2124,13,73,3,maxda rx3 
112,19,4,122,85,2310,18,73,1,ford pinto 
113,21,6,155,107,2472,14,73,1,mercury capri v6
114,26,4,98,90,2265,15,73,2,fiat 124 sport
115,15,8,350,145,4082,13,73,1,chevrolet monte carlo
116,16,8,400,230,4278,9,73,1,pontiac grand prix
117,29,4,68,49,1867,19,73,2,fiat 128 
118,24,4,116,75,2158,15,73,2,opel manta 
119,20,4,114,91,2582,14,73,2,audi 100ls 
120,19,4,121,112,2868,15,73,2,volvo 144ea 
121,15,8,318,150,3399,11,73,1,dodge dart custom
122,24,4,121,110,2660,14,73,2,saab 99le 
123,20,6,156,122,2807,13,73,3,toyota mark ii
124,11,8,350,180,3664,11,73,1,oldsmobile omega 
125,20,6,198,95,3102,16,74,1,plymouth duster 
126,21,6,200,0,0,0,17,0,
127,19,6,232,100,2901,16,74,1,amc hornet 
128,15,6,250,100,3336,17,74,1,chevrolet nova 
129,31,4,79,67,1950,19,74,3,datsun b210 
130,26,4,122,80,2451,16,74,1,ford pinto 
131,32,4,71,65,1836,21,74,3,toyota corolla 1200
132,25,4,140,75,2542,17,74,1,chevrolet vega 
133,16,6,250,100,3781,17,74,1,chevrolet chevelle malibu
134,16,6,258,110,3632,18,74,1,amc matador 
135,18,6,225,105,3613,16,74,1,plymouth satellite sebring
136,16,8,302,140,4141,14,74,1,ford gran torino
137,13,8,350,150,4699,14,74,1,buick century luxus
138,14,8,318,150,4457,13,74,1,dodge coronet custom
139,14,8,302,140,4638,16,74,1,ford gran torino
140,14,8,304,150,4257,15,74,1,amc matador (sw)
141,29,4,98,83,2219,16,74,2,audi fox 
142,26,4,79,67,1963,15,74,2,volkswagen dasher 
143,26,4,97,78,2300,14,74,2,opel manta 
144,31,4,76,52,1649,16,74,3,toyota corona 
145,32,4,83,61,2003,19,74,3,datsun 710 
146,28,4,90,75,2125,14,74,1,dodge colt 
147,24,4,90,75,2108,15,74,2,fiat 128 
148,26,4,116,75,2246,14,74,2,fiat 124 tc
149,24,4,120,97,2489,15,74,3,honda civic 
150,26,4,108,93,2391,15,74,3,
151,31,4,79,67,2000,16,74,2,fiat x1.9 
152,19,6,225,95,3264,16,75,1,plymouth valiant custom
153,18,6,250,105,3459,16,75,1,chevrolet nova 
154,15,6,250,72,3432,21,75,1,mercury monarch 
155,15,6,250,72,3158,19,75,1,ford maverick 
156,16,8,400,170,4668,11,75,1,pontiac catalina 
157,15,8,350,145,4440,14,75,1,chevrolet bel air
158,16,8,318,150,4498,14,75,1,plymouth grand fury
159,14,8,351,148,4657,13,75,1,ford ltd 
160,17,6,231,110,3907,21,75,1,buick century 
161,16,6,250,105,3897,18,75,1,chevroelt chevelle malibu
162,15,6,258,110,3730,19,75,1,amc matador 
163,18,6,225,95,3785,19,75,1,plymouth fury 
164,21,6,231,110,3039,15,75,1,buick skyhawk 
165,20,8,262,110,3221,13,75,1,chevrolet monza 2+2
166,13,8,302,129,3169,12,75,1,ford mustang ii
167,29,4,97,75,2171,16,75,3,toyota corolla 
168,23,4,140,83,2639,17,75,1,ford pinto 
169,20,6,232,100,2914,16,75,1,amc gremlin 
170,23,4,140,78,2592,18,75,1,pontiac astro 
171,24,4,134,96,2702,13,75,3,toyota corona 
172,25,4,90,71,2223,16,75,2,volkswagen dasher 
173,24,4,119,97,2545,17,75,3,datsun 710 
174,18,6,171,97,2984,14,75,1,ford pinto 
175,29,4,90,70,1937,14,75,2,volkswagen rabbit 
176,19,6,232,90,3211,17,75,1,amc pacer 
177,23,4,115,95,2694,15,75,2,audi 100ls 
178,23,4,120,88,2957,17,75,2,peugeot 504 
179,22,4,121,98,2945,14,75,2,volvo 244dl 
180,25,4,121,115,2671,13,75,2,saab 99le 
181,33,4,91,53,1795,17,75,3,honda civic cvcc
182,28,4,107,86,2464,15,76,2,fiat 131 
183,25,4,116,81,2220,16,76,2,opel 1900 
184,25,4,140,92,2572,14,76,1,capri ii 
185,26,4,98,79,2255,17,76,1,dodge colt 
186,27,4,101,83,2202,15,76,2,renault 12tl 
187,17,8,305,140,4215,13,76,1,chevrolet chevelle malibu
188,16,8,318,150,4190,13,76,1,dodge coronet brougham
189,15,8,304,120,3962,13,76,1,amc matador 
190,14,8,351,152,4215,12,76,1,ford gran torino
191,22,6,225,100,3233,15,76,1,plymouth valiant 
192,22,6,250,105,3353,14,76,1,chevrolet nova 
193,24,6,200,81,3012,17,76,1,ford maverick 
194,22,6,232,90,3085,17,76,1,amc hornet 
195,29,4,85,52,2035,22,76,1,chevrolet chevette 
196,24,4,98,60,2164,22,76,1,chevrolet woody 
197,29,4,90,70,1937,14,76,2,vw rabbit 
198,33,4,91,53,1795,17,76,3,honda civic 
199,20,6,225,100,3651,17,76,1,dodge aspen se
200,18,6,250,78,3574,21,76,1,ford granada ghia
201,18,6,250,110,3645,16,76,1,pontiac ventura sj
202,17,6,258,95,3193,17,76,1,amc pacer d/l
203,29,4,97,71,1825,12,76,2,volkswagen rabbit 
204,32,4,85,70,1990,17,76,3,datsun b-210 
205,28,4,97,75,2155,16,76,3,toyota corolla 
206,26,4,140,72,2565,13,76,1,ford pinto 
207,20,4,130,102,3150,15,76,2,volvo 245 
208,13,8,318,150,3940,13,76,1,plymouth volare premier
209,19,4,120,88,3270,21,76,2,peugeot 504 
210,19,6,156,108,2930,15,76,3,toyota mark ii
211,16,6,168,120,3820,16,76,2,mercedes-benz 280s 
212,16,8,350,180,4380,12,76,1,cadillac seville 
213,13,8,350,145,4055,12,76,1,chevy c10 
214,13,8,302,130,3870,15,76,1,ford f108 
215,13,8,318,150,3755,14,76,1,dodge d100 
216,31,4,98,68,2045,18,77,3,honda accord cvcc
217,30,4,111,80,2155,14,77,1,buick opel isuzu
218,36,4,79,58,1825,18,77,2,renault 5 gtl
219,25,4,122,96,2300,15,77,1,plymouth arrow gs
220,33,4,85,70,1945,16,77,3,datsun f-10 hatchback
221,17,8,305,145,3880,12,77,1,chevrolet caprice classic
222,17,8,260,110,4060,19,77,1,oldsmobile cutlass supreme
223,15,8,318,145,4140,13,77,1,dodge monaco brougham
224,15,8,302,130,4295,14,77,1,mercury cougar brougham
225,17,6,250,110,3520,16,77,1,chevrolet concours 
226,20,6,231,105,3425,16,77,1,buick skylark 
227,19,6,225,100,3630,17,77,1,plymouth volare custom
228,18,6,250,98,3525,19,77,1,ford granada 
229,16,8,400,180,4220,11,77,1,pontiac grand prix
230,15,8,350,170,4165,11,77,1,chevrolet monte carlo
231,15,8,400,190,4325,12,77,1,chrysler cordoba 
232,16,8,351,149,4335,14,77,1,ford thunderbird 
233,29,4,97,78,1940,14,77,2,volkswagen rabbit custom
234,24,4,151,88,2740,16,77,1,pontiac sunbird coupe
235,26,4,97,75,2265,18,77,3,toyota corolla liftback
236,25,4,140,89,2755,15,77,1,ford mustang ii
237,30,4,98,63,2051,17,77,1,chevrolet chevette 
238,33,4,98,83,2075,15,77,1,dodge colt m/m
239,30,4,97,67,1985,16,77,3,subaru dl 
240,30,4,97,78,2190,14,77,2,volkswagen dasher 
241,22,6,146,97,2815,14,77,3,datsun 810 
242,21,4,121,110,2600,12,77,2,bmw 320i 
243,21,3,80,110,2720,13,77,3,mazda rx-4 
244,43,4,90,48,1985,21,78,2,volkswagen rabbit custom
245,36,4,98,66,1800,14,78,1,ford fiesta 
246,32,4,78,52,1985,19,78,3,mazda glc deluxe
247,39,4,85,70,2070,18,78,3,datsun b210 gx
248,36,4,91,60,1800,16,78,3,honda civic cvcc
249,19,8,260,110,3365,15,78,1,oldsmobile cutlass salon
250,19,8,318,140,3735,13,78,1,dodge diplomat 
251,20,8,302,139,3570,12,78,1,mercury monarch ghia
252,19,6,231,105,3535,19,78,1,pontiac phoenix lj
253,20,6,200,95,3155,18,78,1,chevrolet malibu 
254,20,6,200,85,2965,15,78,1,ford fairmont (auto)
255,25,4,140,88,2720,15,78,1,ford fairmont (man)
256,20,6,225,100,3430,17,78,1,plymouth volare 
257,19,6,232,90,3210,17,78,1,amc concord 
258,20,6,231,105,3380,15,78,1,buick century special
259,20,6,200,85,3070,16,78,1,mercury zephyr 
260,18,6,225,110,3620,18,78,1,dodge aspen 
261,18,6,258,120,3410,15,78,1,amc concord d/l
262,19,8,305,145,3425,13,78,1,chevrolet monte carlo
263,17,6,231,165,3445,13,78,1,buick regal sport
264,18,8,302,139,3205,11,78,1,ford futura 
265,17,8,318,140,4080,13,78,1,dodge magnum xe
266,30,4,98,68,2155,16,78,1,chevrolet chevette 
267,27,4,134,95,2560,14,78,3,toyota corona 
268,27,4,119,97,2300,14,78,3,datsun 510 
269,30,4,105,75,2230,14,78,1,dodge omni 
270,21,4,134,95,2515,14,78,3,toyota celica gt
271,23,4,156,105,2745,16,78,1,plymouth sapporo 
272,23,4,151,85,2855,17,78,1,oldsmobile starfire sx
273,23,4,119,97,2405,14,78,3,datsun 200-sx 
274,20,5,131,103,2830,15,78,2,audi 5000 
275,17,6,163,125,3140,13,78,2,volvo 264gl 
276,21,4,121,115,2795,15,78,2,saab 99gle 
277,16,6,163,133,3410,15,78,2,peugeot 604sl 
278,31,4,89,71,1990,14,78,2,volkswagen scirocco 
279,29,4,98,68,2135,16,78,3,honda accord lx
280,21,6,231,115,3245,15,79,1,pontiac lemans v6
281,19,6,200,85,2990,18,79,1,mercury zephyr 6
282,22,4,140,88,2890,17,79,1,ford fairmont 4
283,20,6,232,90,3265,18,79,1,amc concord dl
284,20,6,225,110,3360,16,79,1,dodge aspen 6
285,17,8,305,130,3840,15,79,1,chevrolet caprice classic
286,17,8,302,129,3725,13,79,1,ford ltd landau
287,16,8,351,138,3955,13,79,1,mercury grand marquis
288,18,8,318,135,3830,15,79,1,dodge st. regis
289,16,8,350,155,4360,14,79,1,buick estate wagon
290,15,8,351,142,4054,14,79,1,ford country squire
291,19,8,267,125,3605,15,79,1,chevrolet malibu classic
292,18,8,360,150,3940,13,79,1,chrysler lebaron town
293,31,4,89,71,1925,14,79,2,vw rabbit custom
294,34,4,86,65,1975,15,79,3,maxda glc deluxe
295,35,4,98,80,1915,14,79,1,dodge colt hatchback
296,27,4,121,80,2670,15,79,1,amc spirit dl
297,25,5,183,77,3530,20,79,2,mercedes benz 300d
298,23,8,350,125,3900,17,79,1,cadillac eldorado 
299,27,4,141,71,3190,24,79,2,peugeot 504 
300,23,8,260,90,3420,22,79,1,oldsmobile cutlass salon
301,34,4,105,70,2200,13,79,1,plymouth horizon 
302,34,4,105,70,2150,14,79,1,plymouth horizon tc3
303,31,4,85,65,2020,19,79,3,datsun 210 
304,37,4,91,69,2130,14,79,2,fiat strada custom
305,28,4,151,90,2670,16,79,1,buick skylark limited
306,28,6,173,115,2595,11,79,1,chevrolet citation 
307,26,6,173,115,2700,12,79,1,oldsmobile omega brougham
308,33,4,151,90,2556,13,79,1,pontiac phoenix 
309,41,4,98,76,2144,14,80,2,vw rabbit 
310,38,4,89,60,1968,18,80,3,toyota corolla tercel
311,32,4,98,70,2120,15,80,1,chevrolet chevette 
312,37,4,86,65,2019,16,80,3,datsun 310 
313,28,4,151,90,2678,16,80,1,chevrolet citation 
314,26,4,140,88,2870,18,80,1,ford fairmont 
315,24,4,151,90,3003,20,80,1,amc concord 
316,19,6,225,90,3381,18,80,1,dodge aspen 
317,34,4,97,78,2188,15,80,2,audi 4000 
318,29,4,134,90,2711,15,80,3,toyota corona liftback
319,31,4,120,75,2542,17,80,3,mazda 626 
320,37,4,119,92,2434,15,80,3,datsun 510 hatchback
321,32,4,108,75,2265,15,80,3,toyota corolla 
322,46,4,86,65,2110,17,80,3,mazda glc 
323,27,4,156,105,2800,14,80,1,dodge colt 
324,40,4,85,65,2110,19,80,3,datsun 210 
325,44,4,90,48,2085,21,80,2,vw rabbit c
326,43,4,90,48,2335,23,80,2,vw dasher (diesel)
327,36,5,121,67,2950,19,80,2,audi 5000s (diesel)
328,30,4,146,67,3250,21,80,2,mercedes-benz 240d 
329,44,4,91,67,1850,13,80,3,honda civic 1500
330,40,4,85,0,0,0,17,0,
331,33,4,97,67,2145,18,80,3,subaru dl 
332,29,4,89,62,1845,15,80,2,vokswagen rabbit 
333,32,6,168,132,2910,11,80,3,datsun 280-zx 
334,23,3,70,100,2420,12,80,3,mazda rx-7 gs
335,35,4,122,88,2500,15,80,2,triumph tr7 coupe
336,23,4,140,0,0,0,14,0,
337,32,4,107,72,2290,17,80,3,honda accord 
338,27,4,135,84,2490,15,81,1,plymouth reliant 
339,26,4,151,84,2635,16,81,1,buick skylark 
340,25,4,156,92,2620,14,81,1,dodge aries wagon
341,23,6,173,110,2725,12,81,1,chevrolet citation 
342,30,4,135,84,2385,12,81,1,plymouth reliant 
343,39,4,79,58,1755,16,81,3,toyota starlet 
344,39,4,86,64,1875,16,81,1,plymouth champ 
345,35,4,81,60,1760,16,81,3,honda civic 1300
346,32,4,97,67,2065,17,81,3,
347,37,4,85,65,1975,19,81,3,datsun 210 mpg
348,37,4,89,62,2050,17,81,3,toyota tercel 
349,34,4,91,68,1985,16,81,3,mazda glc 4
350,34,4,105,63,2215,14,81,1,plymouth horizon 4
351,34,4,98,65,2045,16,81,1,ford escort 4w
352,29,4,98,65,2380,20,81,1,ford escort 2h
353,33,4,105,74,2190,14,81,2,volkswagen jetta 
354,34,4,100,0,0,0,15,0,
355,33,4,107,75,2210,14,81,3,honda prelude 
356,32,4,108,75,2350,16,81,3,toyota corolla 
357,32,4,119,100,2615,14,81,3,datsun 200sx 
358,31,4,120,74,2635,18,81,3,mazda 626 
359,28,4,141,80,3230,20,81,2,peugeot 505s turbo
360,30,6,145,76,3160,19,81,2,volvo diesel 
361,25,6,168,116,2900,12,81,3,toyota cressida 
362,24,6,146,120,2930,13,81,3,datsun 810 maxima
363,22,6,231,110,3415,15,81,1,buick century 
364,26,8,350,105,3725,19,81,1,oldsmobile cutlass ls
365,20,6,200,88,3060,17,81,1,ford granada gl
366,17,6,225,85,3465,16,81,1,chrysler lebaron salon
367,28,4,112,88,2605,19,82,1,chevrolet cavalier 
368,27,4,112,88,2640,18,82,1,chevrolet cavalier wagon
369,34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
370,31,4,112,85,2575,16,82,1,pontiac j2000 se
371,29,4,135,84,2525,16,82,1,dodge aries se
372,27,4,151,90,2735,18,82,1,pontiac phoenix 
373,24,4,140,92,2865,16,82,1,ford fairmont futura
374,23,4,151,0,0,0,20,0,
375,36,4,105,74,1980,15,82,2,volkswagen rabbit l
376,37,4,91,68,2025,18,82,3,mazda glc custom
377,31,4,91,68,1970,17,82,3,mazda glc custom
378,38,4,105,63,2125,14,82,1,plymouth horizon miser
379,36,4,98,70,2125,17,82,1,mercury lynx l
380,36,4,120,88,2160,14,82,3,nissan stanza xe
381,36,4,107,75,2205,14,82,3,honda accord 
382,34,4,108,70,2245,16,82,3,toyota corolla 
383,38,4,91,67,1965,15,82,3,honda civic 
384,32,4,91,67,1965,15,82,3,honda civic (auto)
385,38,4,91,67,1995,16,82,3,datsun 310 gx
386,25,6,181,110,2945,16,82,1,buick century limited
387,38,6,262,85,3015,17,82,1,oldsmobile cutlass ciera
388,26,4,156,92,2585,14,82,1,chrysler lebaron medallion
389,22,6,232,112,2835,14,82,1,ford granada l
390,32,4,144,96,2665,13,82,3,toyota celica gt
391,36,4,135,84,2370,13,82,1,dodge charger 2.2
392,27,4,151,90,2950,17,82,1,chevrolet camaro 
393,27,4,140,86,2790,15,82,1,ford mustang gl
394,44,4,97,52,2130,24,82,2,vw pickup 
395,32,4,135,84,2295,11,82,1,dodge rampage 
396,28,4,120,79,2625,18,82,1,ford ranger 
397,31,4,119,82,2720,19,82,1,chevy s-10 
